name,model_name,long_name,result_type,result_method,input_file_uri_relative_to_model_root
sediment_export_tons,sdr,Total sediment exported (Mg),primary_objective_sum,raster_sum,sed_export.tif
usle_sum,sdr,USLE sum,secondary_objective_sum,raster_sum,usle.tif
