name,model_name,long_name,result_type,result_method,input_file_uri_relative_to_model_root
nitrogen_export_sum,ndr,Total nitrogen exported (Mg),primary_objective_sum,raster_sum,n_export.tif
phosphorus_export_sum,ndr,Total phosphorus exported (Mg),primary_objective_sum,raster_sum,p_export.tif
