name,long_name,model_type,model_args,enabled
user_defined_folder,User Defined Folder,MESH_built_in,,TRUE
invest_scenario_generator,InVEST Scenario Generator,MESH_built_in,,TRUE
invest_scenario_generator_proximity,InVEST Proximity Based Scenario Generator,MESH_built_in,,TRUE
climate_scenario,Climate scenario generator,MESH_built_in,,TRUE
continuous_lulc_prediction,Continuous lulc prediction model,MESH_built_in,,TRUE
roi_maximizer,Return-on-Investment (ROI) maximizer,MESH_built_in,,FALSE
tradeoff_frontier_maximizer,Tradeoff frontier maximizer,MESH_built_in,,FALSE
market_change_simulator,Market change simulator,MESH_built_in,,FALSE
